#"+EI TIC Scan Mix_Terpene.D "
#Point,X(Minutes),Y(Counts)
738,6.121,0.351091860925909
739,6.124,0.375077344494115
740,6.128,0.398367596654546
741,6.131,0.349006166702587
742,6.135,0.335101538547105
743,6.138,0.299992352454514
744,6.141,0.218650277744947
745,6.145,0.125489269103221
746,6.148,0.149822368375314
747,6.152,0.116451260802158
748,6.155,0.0789087647823578
749,6.159,0.0761278391512615
750,6.162,0.0872515416756467
751,6.165,0.117841723617706
752,6.169,0.071956450704617
753,6.172,0.110889409539965
754,6.176,0.102546632646676
755,6.179,0.104979942573886
756,6.183,0.114365566578836
757,6.186,0.0858610788600986
758,6.189,0.111237025243852
759,6.193,0.0848182317484375
760,6.196,0.0667422151463114
761,6.200,0.071956450704617
762,6.203,0.100460938423354
763,6.207,0.0695231407774078
764,6.210,0.0597899010685707
765,6.213,0.0844706160445504
766,6.217,0.080299227597906
767,6.220,0.080299227597906
768,6.224,0.0650041366268762
769,6.227,0.0674374465540855
770,6.231,0.110194178132191
771,6.234,0.123751190583786
772,6.237,0.114713182282723
773,6.241,0.152255678302523
774,6.244,0.127574963326543
775,6.248,0.129660657549865
776,6.251,0.102894248350563
777,6.255,0.124098806287673
778,6.258,0.107760868204982
779,6.261,0.0841230003406634
780,6.265,0.0823849218212282
781,6.268,0.0660469837385374
782,6.272,0.0747373763357133
783,6.275,0.0549232812141521
784,6.279,0.0577042068452484
785,6.282,0.0643089052191022
786,6.285,0.035456801796478
787,6.289,0.0997657070155801
788,6.292,0.0820373061173412
789,6.296,0.0691755250735207
790,6.299,0.0528375869908299
791,6.303,0.0427567315781058
792,6.306,0.0823849218212282
793,6.309,0.0493614299519595
794,6.313,0.0556185126219262
795,6.316,0.0375424960198002
796,6.320,0.0910753144184042
797,6.323,0.0549232812141521
798,6.327,0.0521423555830558
799,6.330,0.0663945994424244
800,6.333,0.0521423555830558
801,6.337,0.044494810097541
802,6.340,0.0483185828402984
803,6.344,0.0653517523307633
804,6.347,0.0590946696607966
805,6.351,0.0674374465540855
806,6.354,0.0889896201950819
807,6.357,0.0330234918692687
808,6.361,0.0583994382530225
809,6.364,0.062570826699667
810,6.368,0.0476233514325243
811,6.371,0.0754326077434874
812,6.375,0.0347615703887039
813,6.378,0.0577042068452484
814,6.381,0.044842425801428
815,6.385,0.0754326077434874
816,6.388,0.0552708969180392
817,6.392,0.0667422151463114
818,6.395,0.0410186530586706
819,6.399,0.0660469837385374
820,6.402,0.045190041505315
821,6.405,0.045190041505315
822,6.409,0.0789087647823578
823,6.412,0.0510995084713947
824,6.416,0.0948990871611616
825,6.419,0.0514471241752817
826,6.423,0.0743897606318263
827,6.426,0.0556185126219262
828,6.429,0.0917705458261782
829,6.433,0.0792563804862448
830,6.436,0.0872515416756467
831,6.440,0.080646843301793
832,6.443,0.0754326077434874
833,6.447,0.071956450704617
834,6.450,0.0545756655102651
835,6.453,0.0462328886169762
836,6.457,0.0653517523307633
837,6.460,0.0695231407774078
838,6.464,0.0785611490784708
839,6.467,0.0403234216508965
840,6.471,0.0729992978162781
841,6.474,0.100460938423354
842,6.477,0.106022789685547
843,6.481,0.0559661283258132
844,6.484,0.098375244200032
845,6.488,0.0792563804862448
846,6.491,0.0865563102678727
847,6.495,0.0656993680346503
848,6.498,0.0455376572092021
849,6.501,0.0865563102678727
850,6.505,0.0695231407774078
851,6.508,0.0549232812141521
852,6.512,0.0670898308501985
853,6.515,0.0688279093696337
854,6.519,0.0611803638841188
855,6.522,0.0472757357286373
856,6.525,0.0813420747095671
857,6.529,0.0723040664085041
858,6.532,0.0552708969180392
859,6.536,0.0524899712869429
860,6.539,0.0778659176706967
861,6.543,0.071956450704617
862,6.546,0.0490138142480725
863,6.549,0.0604851324763447
864,6.553,0.0559661283258132
865,6.556,0.0743897606318263
866,6.560,0.0660469837385374
867,6.563,0.0392805745392354
868,6.567,0.0573565911413614
869,6.570,0.0632660581074411
870,6.573,0.0837753846367763
871,6.577,0.101851401238902
872,6.580,0.0681326779618596
873,6.584,0.0903800830106301
874,6.587,0.114365566578836
875,6.591,0.099070475607806
876,6.594,0.098375244200032
877,6.597,0.124098806287673
878,6.601,0.128617810438204
879,6.604,0.119579802137141
880,6.608,0.107413252501095
881,6.611,0.108456099612756
882,6.615,0.0796039961901319
883,6.618,0.098722859903919
884,6.621,0.0935086243456134
885,6.625,0.0514471241752817
886,6.628,0.0476233514325243
887,6.632,0.0869039259717597
888,6.635,0.0545756655102651
889,6.639,0.062570826699667
890,6.642,0.071261219296843
891,6.645,0.0976800127922579
892,6.649,0.0403234216508965
893,6.652,0.0615279795880059
894,6.656,0.0524899712869429
895,6.659,0.0524899712869429
896,6.663,0.0604851324763447
897,6.666,0.0552708969180392
898,6.669,0.0469281200247502
